energy/keV,efficiency
1.00000,5.70386e-37
1.03271,5.83661e-34
1.06649,3.65669e-31
1.10138,1.41675e-28
1.13741,3.30981e-26
1.17462,4.86766e-24
1.21304,4.67875e-22
1.25273,3.00474e-20
1.29370,1.28415e-18
1.33603,3.96594e-17
1.37973,9.19421e-16
1.42486,1.63867e-14
1.47147,2.33489e-13
1.51961,2.97206e-12
1.56932,0.00000
1.62066,0.00000
1.67367,0.00000
1.72842,0.00000
1.78496,0.00000
1.84335,0.00000
1.90365,0.00000
1.96593,0.00000
2.03024,0.00000
2.09665,0.00000
2.16524,0.00000
2.23607,0.00000
2.30922,0.00000
2.38476,8.40779e-45
2.46277,3.33621e-41
2.54333,6.97548e-38
2.62653,8.05522e-35
2.71245,5.38836e-32
2.80118,2.16282e-29
2.89281,5.39121e-27
2.98744,8.66329e-25
3.08517,9.26502e-23
3.18609,6.78224e-21
3.29032,3.50054e-19
3.39795,1.31033e-17
3.50911,3.64010e-16
3.62390,7.68044e-15
3.74244,1.25725e-13
3.86487,1.63193e-12
3.99130,1.70759e-11
4.12186,1.46658e-10
4.25670,1.05016e-09
4.39595,6.36780e-09
4.53975,3.31113e-08
4.68825,1.49537e-07
4.84162,5.93811e-07
5.00000,2.09456e-06
5.16356,6.62628e-06
5.33247,1.89778e-05
5.50691,4.96281e-05
5.68706,0.000119392
5.87309,0.000265984
6.06522,0.000552730
6.26363,0.00107763
6.46852,0.00198150
6.68013,0.00345344
6.89865,0.00573161
7.12432,0.00909818
7.35737,0.0138638
7.59805,0.0203518
7.84660,0.0288790
8.10328,0.0397258
8.36836,0.0531185
8.64211,0.0692099
8.92481,0.0880770
9.21677,0.109704
9.51827,0.133973
9.82964,0.160703
10.1512,0.189660
10.4833,0.220535
10.8262,0.252958
11.1803,0.286599
11.5461,0.321097
11.9238,0.356062
12.3138,0.391137
12.7166,0.426051
13.1326,0.460496
13.5622,0.494223
14.0059,0.527015
14.4641,0.558720
14.9372,0.589177
15.4258,0.618309
15.9305,0.646039
16.4516,0.672311
16.9898,0.697102
17.5455,0.720397
18.1195,0.742239
18.7122,0.762644
19.3243,0.781652
19.9565,0.799342
20.6093,0.815747
21.2835,0.830880
21.9797,0.844822
22.6987,0.857647
23.4413,0.869433
24.2081,0.880239
25.0000,0.890135
