energy/keV,photon flux/(phs/s/keV/cm2)
1.00500,14168644.78886282
1.01500,28137086.06648950
1.02500,18634062.07571828
1.03500,9599646.338167207
1.04500,11706692.59445279
1.05500,56630100.68534856
1.06500,11121838.08946762
1.07500,10603546.95257900
1.08500,26832559.96207693
1.09500,10905673.81667682
1.10500,28535347.06892378
1.11500,22775924.84536653
1.12500,43634727.25772270
1.13500,11606653.83355208
1.14500,2900177.570492334
1.15500,6003520.978804577
1.16500,32818551.08590865
1.17500,9403568.980918031
1.18500,2415692.286196013
1.19500,2313799.905737035
1.20500,4507198.533143294
1.21500,2786513.314705029
1.22500,2785410.644673272
1.23500,3376984.323698666
1.24500,7035884.181386746
1.25500,2510106.668748592
1.26500,2690571.310256513
1.27500,3437245.595279512
1.28500,2365453.999102837
1.29500,2974696.646435255
1.30500,3937202.644636999
1.31500,2745692.475378918
1.32500,4517531.766613954
1.33500,2783934.730941166
1.34500,2854712.183150999
1.35500,3849290.891783722
1.36500,3548439.933190397
1.37500,3100780.048271742
1.38500,3335951.402157449
1.39500,2696308.029183935
1.40500,4754774.071832811
1.41500,2656528.440040157
1.42500,2390626.425681190
1.43500,2057522.827995432
1.44500,2414316.376577714
1.45500,1988215.515001947
1.46500,6534462.504850680
1.47500,15818581.42767004
1.48500,4981983.943356396
1.49500,7717659.733719379
1.50500,3381604.461260913
1.51500,1696627.273401174
1.52500,1361291.431658028
1.53500,1237662.461496610
1.54500,2732907.435013079
1.55500,5282159.546084043
1.56500,1682979.861602501
1.57500,2405280.046850667
1.58500,1366883.787691504
1.59500,1446824.871453044
1.60500,1421868.201781643
1.61500,1330046.183087349
1.62500,1128652.202932133
1.63500,1243278.834266079
1.64500,1209055.772910279
1.65500,1923537.395061329
1.66500,2381905.332018923
1.67500,1407737.699244229
1.68500,1537612.989348697
1.69500,1050267.876123307
1.70500,987013.5024144824
1.71500,977015.3220967724
1.72500,3089964.642735304
1.73500,2449066.624974405
1.74500,3336917.321156941
1.75500,1202874.153791515
1.76500,1074751.232361058
1.77500,955549.8065374638
1.78500,874021.6496154797
1.79500,838601.3605323872
1.80500,829979.0242134789
1.81500,949676.1397192855
1.82500,1041125.899005691
1.83500,2290777.173888531
1.84500,2271073.476210838
1.85500,1643222.058131809
1.86500,7843988.289997585
1.87500,820290.7647812718
1.88500,1148784.658404846
1.89500,741743.5703802762
1.90500,740260.1104059876
1.91500,735029.1865633548
1.92500,755644.6671553111
1.93500,714139.2196144096
1.94500,730745.9394999798
1.95500,834947.2075891300
1.96500,736523.2768961977
1.97500,963378.0157006751
1.98500,927753.7156006381
1.99500,1473608.650405823
2.00500,25005230.19918898
2.01500,2718935.206703027
2.02500,724940.1232419561
2.03500,708548.1759708792
2.04500,832089.2816254818
2.05500,749758.2045351695
2.06500,667611.7807101135
2.07500,661462.0526670123
2.08500,656413.2229292432
2.09500,650208.3745084536
2.10500,643126.1277899592
2.11500,637784.8319529551
2.12500,643461.8371378806
2.13500,654212.7387085241
2.14500,631882.2925559877
2.15500,666041.1124239820
2.16500,641566.6804378572
2.17500,847625.0256964650
2.18500,1367545.888418738
2.19500,582156.2312583310
2.20500,586962.2032367848
2.21500,594829.1935228697
2.22500,570429.4365246133
2.23500,566963.1522019776
2.24500,553163.6344086827
2.25500,547930.7747908812
2.26500,539681.3212650855
2.27500,533538.2864107037
2.28500,560218.7802748138
2.29500,844333.0923780177
2.30500,565694.3336031875
2.31500,526373.7200329114
2.32500,539477.0477701520
2.33500,529595.6701575437
2.34500,648533.6993191838
2.35500,504458.7437272016
2.36500,487398.6915448927
2.37500,3196287.914126465
2.38500,946896.1040988709
2.39500,472533.2834480478
2.40500,468336.5228820457
2.41500,471143.1672085945
2.42500,858580.5288595282
2.43500,978566.7638702102
2.44500,799452.5059961581
2.45500,1859395.517652223
2.46500,1961128.180254898
2.47500,438446.4153587860
2.48500,433851.1147762474
2.49500,429267.0679374869
2.50500,1277763.192459921
2.51500,554052.7129768978
2.52500,418203.0301259753
2.53500,411615.6200362291
2.54500,407312.4574554392
2.55500,406651.8331668936
2.56500,772407.5614443319
2.57500,456131.0995354000
2.58500,440295.9993179707
2.59500,465894.2308139672
2.60500,427253.4680449305
2.61500,1514448.913103120
2.62500,2598337.332358495
2.63500,374160.0110069910
2.64500,370262.6393971836
2.65500,371405.5013710058
2.66500,371806.8302161755
2.67500,372813.4333039619
2.68500,373797.3976651978
2.69500,374758.4280121455
2.70500,375942.6302692340
2.71500,375115.4965064212
2.72500,375102.3069874743
2.73500,370426.7865695499
2.74500,364116.9797629119
2.75500,373558.4442659687
2.76500,360234.1756814936
2.77500,363017.4922767706
2.78500,377666.5200814399
2.79500,371436.3425347125
2.80500,344694.9209674075
2.81500,341375.4274601159
2.82500,359157.0644439140
2.83500,339966.9049516846
2.84500,333554.7645390881
2.85500,327439.4211125450
2.86500,324361.7682623614
2.87500,362395.2882038638
2.88500,648536.5209575655
2.89500,315141.6055137739
2.90500,312159.7899393212
2.91500,309198.2835992668
2.92500,306264.9936430291
2.93500,303453.4606639353
2.94500,301224.3663424160
2.95500,319513.0779911991
2.96500,322817.4462043750
2.97500,293093.8809651311
2.98500,290410.9622006437
2.99500,286621.9283807930
3.00500,283932.2508080890
3.01500,281248.7086583777
3.02500,308731.9914518215
3.03500,368861.9912284221
3.04500,280985.5088549154
3.05500,277410.4602155909
3.06500,270745.7011434634
3.07500,265855.1784428054
3.08500,266089.2759992382
3.09500,298683.6450284653
3.10500,837185.1605427779
3.11500,358888.2213636884
3.12500,394901.1529361774
3.13500,640643.0203945923
3.14500,535738.5409631825
